Date Format,,Test_date
,,
DD-MM-YY,,02-03-98
DD/MM/YY,,02/03/98
DD.MM.YY,,22.03.98
DD-MM-YYYY,,12-03-1998
DD/MM/YYYY,,29/03/1998
DD.MM.YYYY,,02.03.1998
DD.MMM.YYYY,,02.150.1998
DD-MMM-YYYY,,03-123-1998
DD/MMM/YYYY,,01/098/1998
DD.MMM.YY,,01.003.98
DD-MMM-YY,,01-003-98
DD/MMM/YY,,05/003/98
MMM-YY,,003-98
MMM-YYYY,,003-1998
DD–MM–YY,– (MSOffice dash),26–04–98
DD–MM–YYYY,– (MSOffice dash),23–03–1998
DD–MMM–YY,– (MSOffice dash),19–153–75
DD–MMM–YYYY,– (MSOffice dash),19–214–1998
DD -MM-YY,SPACE BETWEEN DD AND -,02 -03-98
DD /MM/YY,SPACE BETWEEN DD AND /,02 /03/98
DD .MM.YY,SPACE BETWEEN DD AND .,22 .03.98
DD -MM-YYYY,SPACE BETWEEN DD AND -,12 -03-1998
DD /MM/YYYY,SPACE BETWEEN DD AND /,29 /03/1998
DD .MM.YYYY,SPACE BETWEEN DD AND .,02 .03.1998
DD .MMM.YYYY,SPACE BETWEEN DD AND .,02 .150.1998
DD -MMM-YYYY,SPACE BETWEEN DD AND -,03 -123-1998
DD /MMM/YYYY,SPACE BETWEEN DD AND /,01 /098/1998
DD .MMM.YY,SPACE BETWEEN DD AND .,01 .003.98
DD -MMM-YY,SPACE BETWEEN DD AND -,01 -003-98
DD /MMM/YY,SPACE BETWEEN DD AND /,05 /003/98
DD –MM–YY,SPACE BETWEEN DD AND –,02- 03-98
DD –MM–YYYY,SPACE BETWEEN DD AND –,02/ 03/98
DD –MMM–YY,SPACE BETWEEN DD AND –,22. 03.98
DD –MMM–YYYY,SPACE BETWEEN DD AND –,12- 03-1998
DD- MM-YY,SPACE BETWEN -  AND MM,29 /03/1998
DD/ MM/YY,SPACE BETWEN /  AND MM,02. 03.1998
DD. MM.YY,SPACE BETWEN .  AND MM,02. 150.1998
DD- MM-YYYY,SPACE BETWEN -  AND MM,03- 123-1998
DD/ MM/YYYY,SPACE BETWEN /  AND MM,01/ 098/1998
DD. MM.YYYY,SPACE BETWEN .  AND MM,01. 003.98
DD. MMM.YYYY,SPACE BETWEN .  AND MMM,01- 003-98
DD- MMM-YYYY,SPACE BETWEN -  AND MMM,05/ 003/98
DD/ MMM/YYYY,SPACE BETWEN /  AND MMM,02 - 03-98
DD. MMM.YY,SPACE BETWEN .  AND MMM,02 / 03/98
DD- MMM-YY,SPACE BETWEN -  AND MMM,22 . 03.98
DD/ MMM/YY,SPACE BETWEN /  AND MMM,12 - 03-1998
DD –  MM–YY,SPACE BETWEN –  AND MM,29 / 03 / 1998
DD –  MM–YYYY,SPACE BETWEN –  AND MM,02 . 03.1998
DD –  MMM–YY,SPACE BETWEN –  AND MMM,02 . 150.1998
DD –  MMM–YYYY,SPACE BETWEN –  AND MMM,03 - 123 - 1998
DD – MM - YY,SPACE BETWEN -  AND YY,01 / 098 / 1998
DD / MM / YY,SPACE BETWEN /  AND YY,01 . 003 . 98
DD . MM . YY,SPACE BETWEN .  AND YY,01 - 003 - 98
DD – MM - YYYY,SPACE BETWEN -  AND YYYY,05 / 003 / 98
DD / MM / YYYY,SPACE BETWEN /  AND YYYY,02 - 03 - 98
DD . MM . YYYY,SPACE BETWEN .  AND YYYY,02 / 03 / 98
DD . MMM . YYYY,SPACE BETWEN .  AND YYYY,22 . 03 . 98
DD – MMM - YYYY,SPACE BETWEN -  AND YYYY,12 - 03 - 1998
DD / MMM / YYYY,SPACE BETWEN /  AND YYYY,29 / 03 / 1998
DD.MMM. YY,SPACE BETWEN .  AND YY,02 . 03 . 1998
DD-MMM- YY,SPACE BETWEN -  AND YY,02 . 150 . 1998
DD/MMM/ YY,SPACE BETWEN /  AND YY,03 - 123-1998
MMM- YY,SPACE BETWEN -  AND YY,01 / 098 / 1998
MMM- YYYY,SPACE BETWEN -  AND YYYY,01 . 003 . 98
DD–MM– YY,SPACE BETWEN –  AND YY,01 - 003 - 98
DD–MM– YYYY,SPACE BETWEN –  AND YYYY,05 / 003 / 98
DD–MMM– YY,SPACE BETWEN –  AND YY,103 – 98
DD–MMM– YYYY,SPACE BETWEN –  AND YYYY,136 – 1998
DD – MM – YY,SPACE IN BETWEEN,23 – 05 – 98
DD / MM / YY,SPACE IN BETWEEN,09 – 02 – 1998
DD . MM . YY,SPACE IN BETWEEN,06 – 169 – 98
DD – MM – YYYY,SPACE IN BETWEEN,02 – 134 – 1998
DD / MM / YYYY,SPACE IN BETWEEN,08 09 98
DD . MM . YYYY,SPACE IN BETWEEN,02 01 1998
DD . MMM . YYYY,SPACE IN BETWEEN,06 210 98
DD – MMM – YYYY,SPACE IN BETWEEN,07 220 1998
DD / MMM / YYYY,SPACE IN BETWEEN,
DD . MMM . YY,SPACE IN BETWEEN,
DD – MMM – YY,SPACE IN BETWEEN,
DD / MMM / YY,SPACE IN BETWEEN,
MMM – YY,SPACE IN BETWEEN,
MMM – YYYY,SPACE IN BETWEEN,
DD – MM – YY,SPACE IN BETWEEN,
DD – MM – YYYY,SPACE IN BETWEEN,
DD – MMM – YY,SPACE IN BETWEEN,
DD – MMM – YYYY,SPACE IN BETWEEN,
DD MM YY,,
DD MM YYYY,,
DD MMM YY,,
DD MMM YYYY,,
